epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,13120.1,0.71969,2.10235,0.23522,0.34399,0.01208,0.64458,0.97516,0.97477,0.99145,0.88102,0.89924,0.86773,0.86865,0.73162,0.54184,1.415,0.08213,0.20405,0.01174,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13430.7,0.72013,2.12686,0.2332,0.34142,0.012,0.6093,0.97711,0.97451,0.99145,0.8803,0.90238,0.87906,0.8805,0.74811,0.55128,1.35473,0.08293,0.20221,0.01196,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13741.6,0.7126,2.05328,0.23132,0.34403,0.01199,0.57572,0.97334,0.97872,0.99169,0.88056,0.90709,0.88518,0.8918,0.75697,0.54572,1.31942,0.07899,0.20432,0.01186,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14053.5,0.71284,2.04525,0.23272,0.33861,0.01198,0.53128,0.97836,0.97732,0.99135,0.88533,0.90522,0.89346,0.89169,0.75412,0.53568,1.31347,0.07981,0.20426,0.01164,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14364.2,0.71441,2.03282,0.23,0.33943,0.01196,0.47376,0.97827,0.97541,0.99121,0.88418,0.90294,0.88912,0.88967,0.75784,0.5324,1.31657,0.07803,0.2034,0.01161,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14676.5,0.70848,1.98077,0.22773,0.32194,0.01183,0.43753,0.97591,0.97897,0.99182,0.88871,0.90174,0.88187,0.88739,0.75537,0.52147,1.31893,0.0765,0.19016,0.01128,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14988.2,0.70796,2.00218,0.22611,0.32927,0.01182,0.43325,0.97772,0.97848,0.99158,0.88666,0.8932,0.87503,0.87255,0.74476,0.53051,1.3705,0.07426,0.19765,0.01156,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15300,0.70749,1.99152,0.22543,0.33224,0.01181,0.38737,0.97553,0.98042,0.99206,0.88854,0.90342,0.89519,0.89803,0.76201,0.52142,1.26401,0.07989,0.19081,0.0113,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15617.3,0.70849,1.99793,0.22579,0.33841,0.01185,0.39694,0.97592,0.97607,0.99163,0.88959,0.90015,0.88378,0.88465,0.75365,0.51583,1.30006,0.08056,0.19479,0.01116,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15929.9,0.7104,1.97304,0.22245,0.33317,0.01187,0.33975,0.97882,0.9719,0.99165,0.88809,0.9135,0.89537,0.9,0.76787,0.51872,1.24149,0.06881,0.19923,0.01122,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16242.2,0.71081,1.93922,0.22018,0.32469,0.01179,0.33183,0.97527,0.97897,0.9921,0.88973,0.90922,0.88645,0.89114,0.7664,0.51838,1.27012,0.0681,0.18944,0.0112,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16553.2,0.70763,1.92011,0.2169,0.32227,0.01175,0.28537,0.98135,0.97655,0.99196,0.88524,0.9025,0.88913,0.88433,0.75692,0.53265,1.29219,0.06341,0.19471,0.01163,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
