epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,12699,0.58865,2.39116,0.21045,0.35036,1.04483,0.9781,0.98241,0.99226,0.89389,0.8959,0.8667,0.8642,0.71126,0.49579,1.59215,0.03765,0.24402,0.93783,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12967.2,0.58838,2.37053,0.20833,0.35177,1.0451,0.97485,0.98305,0.99214,0.88967,0.90296,0.86696,0.86885,0.72133,0.50889,1.56381,0.03594,0.24796,0.948,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13235.4,0.58045,2.35772,0.20775,0.34738,1.04057,0.97791,0.98151,0.99229,0.89405,0.89806,0.85905,0.85792,0.71488,0.49149,1.5933,0.03755,0.24265,0.93687,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13503.7,0.58162,2.35553,0.20564,0.34826,1.04433,0.98126,0.98109,0.99226,0.89516,0.89353,0.87244,0.86603,0.72107,0.48706,1.53983,0.03446,0.24054,0.93032,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,13771.8,0.57736,2.32521,0.20493,0.34319,1.04058,0.97938,0.9807,0.99214,0.89668,0.90414,0.86696,0.86746,0.72365,0.48539,1.53076,0.03435,0.238,0.93053,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,14039.6,0.57705,2.30474,0.20297,0.34335,1.04001,0.97766,0.98152,0.99209,0.89554,0.89254,0.86374,0.86279,0.72619,0.48888,1.5471,0.034,0.23745,0.93198,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,14307.6,0.57101,2.26135,0.20046,0.34,1.03708,0.97734,0.98384,0.99197,0.89534,0.89642,0.86464,0.86287,0.72311,0.48791,1.54564,0.03211,0.23797,0.93013,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,14575.5,0.57083,2.25805,0.19884,0.3386,1.03704,0.97916,0.98267,0.99221,0.89859,0.9065,0.87396,0.87439,0.72822,0.48064,1.50799,0.03204,0.23438,0.92588,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,14843.2,0.56902,2.24805,0.1993,0.33756,1.03452,0.97997,0.98127,0.99239,0.89918,0.9088,0.87492,0.87901,0.73667,0.47598,1.47914,0.03277,0.2336,0.92517,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,15111.1,0.56742,2.24429,0.19828,0.33602,1.03536,0.9774,0.98111,0.99228,0.89838,0.90991,0.87511,0.87429,0.72854,0.47749,1.48996,0.03293,0.22997,0.92714,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,15378.5,0.564,2.21958,0.19619,0.33467,1.03217,0.98087,0.98015,0.99254,0.90022,0.91413,0.88034,0.88049,0.74261,0.475,1.44242,0.03322,0.23091,0.92147,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,15646.5,0.55619,2.20157,0.19461,0.3298,1.02907,0.97874,0.98445,0.99265,0.90021,0.91278,0.8882,0.89016,0.74539,0.47158,1.43008,0.0327,0.22955,0.92192,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,15914.2,0.55283,2.1468,0.19295,0.32911,1.02586,0.98082,0.98305,0.99251,0.90086,0.90925,0.88616,0.88129,0.74412,0.47241,1.42333,0.03202,0.22974,0.92351,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,16181.8,0.55702,2.15816,0.19269,0.32682,1.03046,0.97723,0.98461,0.99255,0.9011,0.9096,0.88347,0.88009,0.74356,0.47192,1.42228,0.03105,0.22435,0.91981,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,16449.4,0.55142,2.12282,0.19206,0.32615,1.02603,0.98182,0.98165,0.99264,0.90221,0.91446,0.8855,0.88805,0.74683,0.46617,1.40988,0.02982,0.22537,0.91889,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,16717.1,0.55268,2.13918,0.19216,0.32812,1.02656,0.98259,0.98394,0.99295,0.90183,0.91901,0.8913,0.89264,0.74936,0.46746,1.39103,0.03014,0.22442,0.91944,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,16984.8,0.54713,2.10217,0.19077,0.32271,1.02614,0.98083,0.98464,0.99272,0.90252,0.9128,0.8811,0.88015,0.74574,0.46491,1.41888,0.03024,0.223,0.91752,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,17252.4,0.54741,2.07923,0.18828,0.32381,1.02487,0.98023,0.98458,0.99271,0.90324,0.91498,0.88696,0.88849,0.74745,0.46384,1.39583,0.02954,0.22169,0.91545,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,17520.1,0.54519,2.05767,0.18663,0.32035,1.0227,0.98147,0.98407,0.99287,0.90428,0.91574,0.88499,0.88974,0.74862,0.46202,1.39602,0.02853,0.22075,0.91409,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,17791.2,0.54062,2.04058,0.18772,0.31891,1.02242,0.98285,0.9819,0.99266,0.90385,0.90782,0.88608,0.88191,0.7488,0.45989,1.39576,0.02891,0.2203,0.9136,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,18058.8,0.5405,2.05947,0.18538,0.32151,1.02263,0.98236,0.98267,0.99275,0.90479,0.91472,0.88441,0.88957,0.74879,0.45727,1.38954,0.02848,0.22017,0.91279,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
