epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,11151.7,0.61838,2.65372,0.22357,0.3819,1.06564,0.97351,0.97873,0.99155,0.88417,0.88832,0.84822,0.85331,0.69472,0.52255,1.71642,0.04581,0.26403,0.95826,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11385.4,0.62554,2.65872,0.22142,0.38211,1.07113,0.9754,0.98022,0.99173,0.88399,0.87365,0.83093,0.8233,0.67505,0.52133,1.8085,0.04314,0.26313,0.95389,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11613.2,0.61644,2.6096,0.2195,0.37816,1.06392,0.97622,0.97824,0.99179,0.88438,0.86773,0.84797,0.83778,0.69114,0.52044,1.75162,0.04247,0.25842,0.9563,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11843.7,0.61348,2.59493,0.2184,0.37881,1.06267,0.97769,0.97711,0.99187,0.88538,0.89507,0.84848,0.85429,0.6991,0.51711,1.69712,0.04308,0.25999,0.9514,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,12070,0.6106,2.56223,0.216,0.37277,1.06053,0.97457,0.98159,0.99159,0.88667,0.88745,0.84808,0.84292,0.69776,0.51666,1.70607,0.0416,0.25549,0.95047,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12296.5,0.60981,2.56162,0.21512,0.37176,1.06076,0.97564,0.98267,0.99184,0.88659,0.88573,0.85281,0.84973,0.69904,0.51671,1.71196,0.0428,0.25691,0.9531,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,12525,0.61108,2.55709,0.21436,0.37253,1.05993,0.97353,0.98114,0.99166,0.88847,0.88188,0.85914,0.85225,0.70314,0.50841,1.68633,0.04195,0.25455,0.94717,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,12752.4,0.60542,2.52848,0.21261,0.36927,1.0596,0.97881,0.97974,0.992,0.88861,0.88765,0.85682,0.85119,0.70199,0.50864,1.67863,0.04209,0.25412,0.94809,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,12979.3,0.60747,2.54025,0.21171,0.36959,1.05967,0.97922,0.9788,0.99191,0.89074,0.89356,0.85803,0.85478,0.70555,0.50186,1.63733,0.04261,0.25399,0.94489,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,13206.6,0.60151,2.51043,0.20949,0.3649,1.05577,0.97443,0.98095,0.9919,0.89165,0.89072,0.8616,0.86138,0.71031,0.49793,1.61808,0.04046,0.24597,0.94228,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
